x,y,yaw
2.254412372457388,-2.190099878945495,-3.4906585039886577
2.2377858782852407,-2.1805005680595264,-3.6651914291880905
2.223078880761305,-2.168159931861467,-3.8397243543875232
2.2107382445632453,-2.153452934337531,-4.014257279586956
2.2011389336772766,-2.1368264401653843,-4.188790204786389
2.194572618307183,-2.1187856369570346,-4.3633231299858215
2.1912388126227693,-2.0998786853888816,-4.537856055185254
2.1912388126227693,-2.080680063616944,-4.712388980384687
2.1912388126227693,-2.060680063616944,-4.712388980384687
2.1912388126227693,-2.0406800636169438,-4.712388980384687
2.1912388126227693,-2.0206800636169437,-4.712388980384687
2.1912388126227693,-2.0006800636169437,-4.712388980384687
2.1912388126227693,-1.9806800636169437,-4.712388980384687
2.1912388126227693,-1.9606800636169437,-4.712388980384687
2.1912388126227693,-1.9406800636169437,-4.712388980384687
2.1912388126227693,-1.9206800636169437,-4.712388980384687
2.1912388126227693,-1.9006800636169436,-4.712388980384687
2.1912388126227693,-1.8806800636169436,-4.712388980384687
2.1912388126227693,-1.8606800636169436,-4.712388980384687
2.1912388126227693,-1.8406800636169436,-4.712388980384687
2.1912388126227693,-1.8206800636169436,-4.712388980384687
2.1912388126227693,-1.8006800636169435,-4.712388980384687
2.1912388126227693,-1.7806800636169435,-4.712388980384687
2.1912388126227693,-1.7606800636169435,-4.712388980384687
2.1912388126227693,-1.7406800636169435,-4.712388980384687
2.1912388126227693,-1.7206800636169435,-4.712388980384687
2.1912388126227693,-1.7006800636169435,-4.712388980384687
2.1912388126227693,-1.6806800636169434,-4.712388980384687
2.1912388126227693,-1.6606800636169434,-4.712388980384687
2.1912388126227693,-1.6406800636169434,-4.712388980384687
2.1912388126227693,-1.6206800636169434,-4.712388980384687
2.1912388126227693,-1.6006800636169434,-4.712388980384687
2.1912388126227693,-1.5806800636169434,-4.712388980384687
2.1912388126227693,-1.5606800636169433,-4.712388980384687
2.1912388126227693,-1.5406800636169433,-4.712388980384687
2.1912388126227693,-1.5206800636169433,-4.712388980384687
2.1912388126227693,-1.5006800636169433,-4.712388980384687
2.1912388126227693,-1.4806800636169433,-4.712388980384687
2.1912388126227693,-1.4606800636169432,-4.712388980384687
2.1912388126227693,-1.4406800636169432,-4.712388980384687
2.1912388126227693,-1.4206800636169432,-4.712388980384687
2.1912388126227693,-1.4006800636169432,-4.712388980384687
2.1912388126227693,-1.3806800636169432,-4.712388980384687
2.1912388126227693,-1.3606800636169432,-4.712388980384687
2.1912388126227693,-1.3406800636169431,-4.712388980384687
2.1912388126227693,-1.3206800636169431,-4.712388980384687
2.1912388126227693,-1.300680063616943,-4.712388980384687
2.1912388126227693,-1.280680063616943,-4.712388980384687
2.1912388126227693,-1.260680063616943,-4.712388980384687
2.1912388126227693,-1.240680063616943,-4.712388980384687
2.1912388126227693,-1.220680063616943,-4.712388980384687
2.1912388126227693,-1.200680063616943,-4.712388980384687
2.1879050069383554,-1.18177311204879,-4.537856055185254
2.181338691568262,-1.1637323088404405,-4.3633231299858215
2.1717393806822933,-1.1471058146682935,-4.188790204786389
2.1593987444842337,-1.1323988171443577,-4.014257279586956
2.144691746960298,-1.120058180946298,-3.8397243543875232
